id,from,at,to,open,close,min,max,volume
5267366,2024-11-14 18:38:00,1731609510000000000,1731609510,0.586865,0.58691,0.586865,0.58691,32
5267367,2024-11-14 18:38:30,1731609540000000000,1731609540,0.586905,0.58694,0.5869,0.586955,28
5267368,2024-11-14 18:39:00,1731609570002232903,1731609570,0.586925,0.586955,0.586905,0.58697,47
5267369,2024-11-14 18:39:30,1731609600000000000,1731609600,0.586955,0.586885,0.586885,0.586965,31
5267370,2024-11-14 18:40:00,1731609630000000000,1731609630,0.586885,0.58694,0.586865,0.586965,48
5267371,2024-11-14 18:40:30,1731609660000000000,1731609660,0.58694,0.58692,0.58691,0.586955,36
5267372,2024-11-14 18:41:00,1731609690000000000,1731609690,0.58692,0.586935,0.586915,0.58696,31
5267373,2024-11-14 18:41:30,1731609720000000000,1731609720,0.58694,0.587035,0.586935,0.587055,40
5267374,2024-11-14 18:42:00,1731609750000000000,1731609750,0.587035,0.586995,0.586985,0.587065,42
5267375,2024-11-14 18:42:30,1731609780001780968,1731609780,0.586995,0.586995,0.586995,0.58703,17
5267376,2024-11-14 18:43:00,1731609810000000000,1731609810,0.586995,0.58706,0.586995,0.587065,20
5267377,2024-11-14 18:43:30,1731609840000000000,1731609840,0.58706,0.58707,0.58705,0.587085,14
5267378,2024-11-14 18:44:00,1731609870000000000,1731609870,0.58707,0.587035,0.587015,0.58707,30
5267379,2024-11-14 18:44:30,1731609900000000000,1731609900,0.587035,0.587015,0.587015,0.58707,38
5267380,2024-11-14 18:45:00,1731609930000000000,1731609930,0.58699,0.58699,0.586985,0.587015,14
5267381,2024-11-14 18:45:30,1731609960003173323,1731609960,0.586985,0.587035,0.586985,0.587055,22
5267382,2024-11-14 18:46:00,1731609990000000000,1731609990,0.587035,0.587005,0.58698,0.587035,30
5267383,2024-11-14 18:46:30,1731610020004513254,1731610020,0.587005,0.58696,0.586945,0.587005,16
5267384,2024-11-14 18:47:00,1731610050000000000,1731610050,0.58695,0.58695,0.58693,0.586965,23
5267385,2024-11-14 18:47:30,1731610080000000000,1731610080,0.586945,0.5869,0.586875,0.58696,33
5267386,2024-11-14 18:48:00,1731610110000000000,1731610110,0.586905,0.5869,0.586895,0.58692,20
5267387,2024-11-14 18:48:30,1731610140000000000,1731610140,0.5869,0.586895,0.58686,0.5869,15
5267388,2024-11-14 18:49:00,1731610170000000000,1731610170,0.5869,0.586855,0.586795,0.5869,40
5267389,2024-11-14 18:49:30,1731610200000000000,1731610200,0.586855,0.586805,0.586805,0.586855,41
5267390,2024-11-14 18:50:00,1731610230000000000,1731610230,0.586805,0.586915,0.586805,0.586915,36
5267391,2024-11-14 18:50:30,1731610260003254208,1731610260,0.586915,0.586885,0.586855,0.586915,17
5267392,2024-11-14 18:51:00,1731610290000000000,1731610290,0.58689,0.586925,0.586875,0.586945,22
5267393,2024-11-14 18:51:30,1731610320000000000,1731610320,0.586925,0.586955,0.586905,0.58697,25
5267394,2024-11-14 18:52:00,1731610350000000000,1731610350,0.586955,0.586935,0.586905,0.586955,19
5267395,2024-11-14 18:52:30,1731610380000000000,1731610380,0.586935,0.586945,0.58693,0.58696,24
5267396,2024-11-14 18:53:00,1731610410000000000,1731610410,0.586945,0.58697,0.5869,0.58697,23
5267397,2024-11-14 18:53:30,1731610440000000000,1731610440,0.586965,0.58694,0.58691,0.58697,31
